timestamp,ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8
1786312054.272000,1775.89,-21568.18,-12082.55,-13372.69,-13165.89,-10747.34,-4858.02,-6782.23
1786312054.272000,1776.96,-21570.59,-12076.92,-13375.91,-13165.36,-10746.00,-4857.75,-6781.43
1786312054.274000,1780.45,-21571.13,-12067.80,-13377.25,-13164.28,-10746.54,-4859.36,-6775.80
1786312054.274000,1780.18,-21569.79,-12068.87,-13376.18,-13164.01,-10747.61,-4855.87,-6774.46
1786312054.274000,1776.43,-21567.11,-12081.21,-13374.57,-13167.23,-10748.15,-4855.07,-6776.60
1786312054.274000,1775.89,-21567.38,-12090.33,-13373.76,-13167.23,-10750.29,-4860.70,-6777.67
1786312054.274000,1776.43,-21570.06,-12076.11,-13375.10,-13168.04,-10751.10,-4860.43,-6778.48
1786312054.286000,1776.43,-21572.20,-12066.45,-13375.64,-13168.04,-10751.90,-4859.63,-6779.28
1786312054.286000,1773.21,-21570.86,-12074.23,-13375.10,-13168.57,-10754.05,-4860.16,-6781.16
1786312054.286000,1770.26,-21570.59,-12083.35,-13374.57,-13168.57,-10753.78,-4859.89,-6781.70
1786312054.286000,1774.01,-21568.99,-12080.67,-13376.18,-13166.96,-10750.03,-4859.36,-6779.82
1786312054.286000,1778.04,-21567.91,-12072.89,-13377.52,-13165.36,-10749.22,-4860.43,-6775.80
1786312054.331000,1775.09,-21568.45,-12076.38,-13376.71,-13167.50,-10748.15,-4861.77,-6780.36
1786312054.331000,1771.06,-21571.13,-12081.47,-13376.71,-13169.92,-10751.64,-4862.58,-6783.84
1786312054.331000,1768.38,-21573.28,-12082.28,-13375.64,-13170.72,-10755.66,-4862.58,-6784.65
1786312054.331000,1767.84,-21572.47,-12084.69,-13375.91,-13172.33,-10756.20,-4864.99,-6786.53
1786312054.331000,1771.60,-21569.25,-12077.45,-13378.59,-13170.72,-10753.51,-4864.45,-6783.84
1786312054.334000,1775.89,-21568.72,-12070.48,-13376.45,-13167.77,-10751.37,-4860.43,-6778.48
1786312054.334000,1772.14,-21574.08,-12078.52,-13374.57,-13169.92,-10753.51,-4859.89,-6780.62
1786312054.334000,1769.72,-21570.59,-12089.52,-13375.37,-13170.72,-10754.85,-4859.09,-6782.77
1786312054.334000,1770.53,-21564.69,-12082.55,-13376.71,-13170.18,-10753.51,-4864.19,-6782.23
1786312054.334000,1769.99,-21565.50,-12068.33,-13377.25,-13170.72,-10752.71,-4864.99,-6780.62
1786312054.360000,1769.19,-21568.99,-12065.38,-13376.45,-13171.52,-10753.51,-4866.60,-6780.36
1786312054.360000,1768.38,-21567.91,-12076.65,-13375.10,-13172.87,-10757.27,-4869.01,-6780.09
1786312054.360000,1766.50,-21568.18,-12087.38,-13375.37,-13173.13,-10759.15,-4868.75,-6780.89
1786312054.360000,1769.99,-21570.86,-12090.86,-13376.45,-13170.18,-10755.12,-4864.45,-6779.28
1786312054.360000,1770.79,-21575.42,-12091.40,-13379.13,-13169.92,-10754.32,-4861.50,-6779.02
1786312054.434000,1769.72,-21574.89,-12077.99,-13377.25,-13169.11,-10753.78,-4862.04,-6780.36
1786312054.434000,1768.11,-21571.94,-12071.82,-13375.37,-13170.72,-10755.12,-4862.31,-6782.50
1786312054.434000,1769.99,-21568.99,-12084.43,-13374.30,-13168.04,-10757.27,-4860.43,-6783.58
1786312054.434000,1771.06,-21568.99,-12092.20,-13375.91,-13169.11,-10755.66,-4863.11,-6782.23
1786312054.434000,1772.40,-21568.18,-12085.77,-13378.05,-13170.18,-10755.39,-4867.40,-6784.38
1786312054.452000,1769.45,-21567.91,-12064.85,-13378.05,-13171.52,-10756.20,-4870.62,-6786.53
1786312054.452000,1770.53,-21567.38,-12072.89,-13374.57,-13170.18,-10758.07,-4868.75,-6783.31
1786312054.452000,1769.99,-21569.79,-12097.57,-13374.03,-13170.45,-10760.75,-4871.70,-6784.38
1786312054.452000,1767.31,-21568.99,-12089.25,-13375.91,-13172.06,-10760.22,-4872.50,-6785.18
1786312054.452000,1769.72,-21569.52,-12073.70,-13376.18,-13170.18,-10757.00,-4865.80,-6784.11
1786312054.456000,1769.45,-21567.38,-12062.16,-13374.03,-13172.06,-10757.80,-4863.92,-6786.53
